Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
892482377590636544,892482377590636544,,0,21,21,0,24,24,9,0.245925,0.294823,0,18,0,0.011835
2343158218,2343158218,,9,1,10,9,1,10,3,0.5,0.583333,0.000002,15,0.002383,0
1351442367644110848,1351442367644110848,,4,9,13,4,14,18,10,0.193388,0.216019,0.000039,206,0.001817,0.020979
875178422,875178422,,64,31,95,68,35,103,8,0.263876,0.293116,0.00176,18,0.025352,0.000716
1449282200030126080,1449282200030126080,,2,2,4,2,3,5,9,0.208979,0.222395,0.000002,18,0.000525,0.000741
1417238454560337920,1417238454560337920,,5,3,8,5,3,8,1,1,1,0.000005,15,0.00186,0
2832708639,2832708639,,14,0,14,14,0,14,0,0,0,0,57,0.0028,0
1196006918080417792,1196006918080417792,,4,3,7,4,3,7,8,0.239816,0.257834,0.000073,18,0.00254,0.000025
56957289,56957289,,2,3,5,2,5,7,3,0.529412,0.62963,0,110,0.000346,0.017963
2902258413,2902258413,,1,0,1,1,0,1,0,0,0,0,18,0.000346,0
1185613412,1185613412,,9,21,30,9,21,30,7,0.307134,0.327043,0.000072,9,0.005213,0.000135
3244161467,3244161467,,1,6,7,1,6,7,8,0.215197,0.230584,0.000005,15,0.000346,0.005663
1385612470182715392,1385612470182715392,,28,7,35,34,8,42,2,0.888889,0.9375,0.000063,15,0.011909,0
1434532915417919488,1434532915417919488,,5,28,33,6,32,38,10,0.208628,0.247183,0.000066,18,0.002879,0.01851
984895994755211264,984895994755211264,,8,1,9,8,1,9,1,1,1,0.00001,18,0.00331,0
1620724477,1620724477,,2,0,2,2,0,2,0,0,0,0,18,0.000346,0
71593119,71593119,,0,1,1,0,1,1,10,0.201268,0.216669,0,15,0,0
2270632844,2270632844,,1,2,3,1,2,3,9,0.251897,0.284672,0.000046,15,0,0.001178
1359744412704735232,1359744412704735232,,0,1,1,0,1,1,2,0.666667,0.75,0,21,0,0.000611
1401072119568650240,1401072119568650240,,0,3,3,0,3,3,5,0.435583,0.473474,0,21,0,0.003067
353811477,353811477,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
1138777682248982528,1138777682248982528,,0,10,10,0,11,11,9,0.267785,0.309281,0,13,0,0.02502
1448727801411026944,1448727801411026944,,1,0,1,1,0,1,0,0,0,0,13,0.000731,0
1207268171675324416,1207268171675324416,,26,4,30,28,4,32,2,0.7,0.785714,0.000064,18,0.010542,0
25676606,25676606,,13,18,31,16,27,43,3,0.702703,0.826923,0.000211,14,0.004689,0.000016
1025345033384411136,1025345033384411136,,0,17,17,0,18,18,9,0.300598,0.367255,0,13,0,0.062548
1446168777247399936,1446168777247399936,,5,1,6,5,1,6,6,0.390411,0.429474,0.000009,13,0.004068,0.00415
1431896816333754368,1431896816333754368,,7,6,13,7,7,14,2,0.8,0.875,0.000022,206,0.004059,0.000004
1154012367405178880,1154012367405178880,,58,0,58,58,0,58,0,0,0,0,9,0.032274,0
2264348977,2264348977,,9,4,13,9,4,13,7,0.286517,0.308396,0.000034,13,0.00645,0.01797
1138820269232013312,1138820269232013312,,5,0,5,5,0,5,0,0,0,0,13,0.002385,0
150357753,150357753,,97,0,97,98,0,98,0,0,0,0,25,0.021235,0
3145732173,3145732173,,0,3,3,0,3,3,9,0.217798,0.231347,0,5,0,0.038766
1433774196476334080,1433774196476334080,,0,1,1,0,1,1,1,1,1,0,9,0,0.000767
1121853269989634048,1121853269989634048,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
583751810,583751810,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
1125321094074970112,1125321094074970112,,0,1,1,0,1,1,2,0.666667,0.75,0,21,0,0.000611
1130994566100922368,1130994566100922368,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
1074611793920778240,1074611793920778240,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
279945959,279945959,,0,1,1,0,1,1,1,1,1,0,28,0,0.000022
1286536874,1286536874,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1214443535476445184,1214443535476445184,,0,1,1,0,1,1,1,1,1,0,9,0,0.000767
2475753598,2475753598,,0,2,2,0,2,2,5,0.450575,0.473129,0,28,0,0.000068
1277122314933583872,1277122314933583872,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
1031091390,1031091390,,0,2,2,0,2,2,5,0.429448,0.463571,0,9,0,0.002357
1325385755959697408,1325385755959697408,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
980716740073189376,980716740073189376,,0,1,1,0,1,1,1,1,1,0,21,0,0.000001
375544141,375544141,,0,3,3,0,3,3,6,0.392318,0.4338,0,9,0,0.005537
2594940466,2594940466,,0,2,2,0,2,2,2,0.625,0.7,0,18,0,0.000791
1006510829649518592,1006510829649518592,,2,3,5,3,3,6,1,1,1,0,18,0.000843,0.024192
610172744,610172744,,0,2,2,0,2,2,6,0.391245,0.431469,0,9,0,0.004916
1345486989164994560,1345486989164994560,,0,3,3,0,3,3,2,0.8,0.875,0,9,0,0.018707
2995895663,2995895663,,1,0,1,1,0,1,0,0,0,0,9,0.000546,0
2889345052,2889345052,,0,6,6,0,6,6,7,0.320222,0.363491,0,9,0,0.009213
431031924,431031924,,1,0,1,1,0,1,0,0,0,0,9,0.000269,0
1008326401,1008326401,,1,0,1,1,0,1,0,0,0,0,9,0.000269,0
1427276891023626240,1427276891023626240,,0,7,7,0,7,7,9,0.268873,0.315923,0,9,0,0.03457
